Regional,DDD,ValorTEF,ValorBonus,Validade
BCP,11,13,0,30
BCP,11,15,0,30
BCP,11,20,2,60
BCP,11,30,4,90
BCP,11,35,5,90
BCP,11,40,6,90
BCP,11,50,8,120
BCP,11,100,18,180
TESS,12,13,0,30
TESS,12,15,0,30
TESS,12,20,2,60
TESS,12,30,4,90
TESS,12,35,5,90
TESS,12,40,6,90
TESS,12,50,8,120
TESS,12,100,18,180
TESS,13,13,0,30
TESS,13,15,0,30
TESS,13,20,2,60
TESS,13,30,4,90
TESS,13,35,5,90
TESS,13,40,6,90
TESS,13,50,8,120
TESS,13,100,18,180
TESS,14,13,0,30
TESS,14,15,0,30
TESS,14,20,2,60
TESS,14,30,4,90
TESS,14,35,5,90
TESS,14,40,6,90
TESS,14,50,8,120
TESS,14,100,18,180
TESS,15,13,0,30
TESS,15,15,0,30
TESS,15,20,2,60
TESS,15,30,4,90
TESS,15,35,5,90
TESS,15,40,6,90
TESS,15,50,8,120
TESS,15,100,18,180
TESS,16,13,0,30
TESS,16,15,0,30
TESS,16,20,2,60
TESS,16,30,4,90
TESS,16,35,5,90
TESS,16,40,6,90
TESS,16,50,8,120
TESS,16,100,18,180
TESS,17,13,0,30
TESS,17,15,0,30
TESS,17,20,2,60
TESS,17,30,4,90
TESS,17,35,5,90
TESS,17,40,6,90
TESS,17,50,8,120
TESS,17,100,18,180
TESS,18,13,0,30
TESS,18,15,0,30
TESS,18,20,2,60
TESS,18,30,4,90
TESS,18,35,5,90
TESS,18,40,6,90
TESS,18,50,8,120
TESS,18,100,18,180
TESS,19,13,0,30
TESS,19,15,0,30
TESS,19,20,2,60
TESS,19,30,4,90
TESS,19,35,5,90
TESS,19,40,6,90
TESS,19,50,8,120
TESS,19,100,18,180
ATL,21,13,0,30
ATL,21,15,0,30
ATL,21,20,2,60
ATL,21,30,4,90
ATL,21,35,5,90
ATL,21,40,6,90
ATL,21,50,8,120
ATL,21,100,18,180
ATL,22,13,0,30
ATL,22,15,0,30
ATL,22,20,2,60
ATL,22,30,4,90
ATL,22,35,5,90
ATL,22,40,6,90
ATL,22,50,8,120
ATL,22,100,18,180
ATL,23,13,0,30
ATL,23,15,0,30
ATL,23,20,2,60
ATL,23,30,4,90
ATL,23,35,5,90
ATL,23,40,6,90
ATL,23,50,8,120
ATL,23,100,18,180
ATL,24,13,0,30
ATL,24,15,0,30
ATL,24,20,2,60
ATL,24,30,4,90
ATL,24,35,5,90
ATL,24,40,6,90
ATL,24,50,8,120
ATL,24,100,18,180
ATL,26,13,0,30
ATL,26,15,0,30
ATL,26,20,2,60
ATL,26,30,4,90
ATL,26,35,5,90
ATL,26,40,6,90
ATL,26,50,8,120
ATL,26,100,18,180
ATL,27,13,0,30
ATL,27,15,0,30
ATL,27,20,2,60
ATL,27,30,4,90
ATL,27,35,5,90
ATL,27,40,6,90
ATL,27,50,8,120
ATL,27,100,18,180
ATL,28,13,0,30
ATL,28,15,0,30
ATL,28,20,2,60
ATL,28,30,4,90
ATL,28,35,5,90
ATL,28,40,6,90
ATL,28,50,8,120
ATL,28,100,18,180
ATL,29,13,0,30
ATL,29,15,0,30
ATL,29,20,2,60
ATL,29,30,4,90
ATL,29,35,5,90
ATL,29,40,6,90
ATL,29,50,8,120
ATL,29,100,18,180
MINAS,31,13,0,30
MINAS,31,15,0,30
MINAS,31,20,2,60
MINAS,31,30,4,90
MINAS,31,35,5,90
MINAS,31,40,6,90
MINAS,31,50,8,120
MINAS,31,100,18,180
MINAS,32,13,0,30
MINAS,32,15,0,30
MINAS,32,20,2,60
MINAS,32,30,4,90
MINAS,32,35,5,90
MINAS,32,40,6,90
MINAS,32,50,8,120
MINAS,32,100,18,180
MINAS,33,13,0,30
MINAS,33,15,0,30
MINAS,33,20,2,60
MINAS,33,30,4,90
MINAS,33,35,5,90
MINAS,33,40,6,90
MINAS,33,50,8,120
MINAS,33,100,18,180
MINAS,34,13,0,30
MINAS,34,15,0,30
MINAS,34,20,2,60
MINAS,34,30,4,90
MINAS,34,35,5,90
MINAS,34,40,6,90
MINAS,34,50,8,120
MINAS,34,100,18,180
MINAS,35,13,0,30
MINAS,35,15,0,30
MINAS,35,20,2,60
MINAS,35,30,4,90
MINAS,35,35,5,90
MINAS,35,40,6,90
MINAS,35,50,8,120
MINAS,35,100,18,180
MINAS,37,13,0,30
MINAS,37,15,0,30
MINAS,37,20,2,60
MINAS,37,30,4,90
MINAS,37,35,5,90
MINAS,37,40,6,90
MINAS,37,50,8,120
MINAS,37,100,18,180
MINAS,38,13,0,30
MINAS,38,15,0,30
MINAS,38,20,2,60
MINAS,38,30,4,90
MINAS,38,35,5,90
MINAS,38,40,6,90
MINAS,38,50,8,120
MINAS,38,100,18,180
MINAS,39,13,0,30
MINAS,39,15,0,30
MINAS,39,20,2,60
MINAS,39,30,4,90
MINAS,39,35,5,90
MINAS,39,40,6,90
MINAS,39,50,8,120
MINAS,39,100,18,180
CLARO-PR-SC,41,13,0,30
CLARO-PR-SC,41,15,0,30
CLARO-PR-SC,41,20,2,60
CLARO-PR-SC,41,30,4,90
CLARO-PR-SC,41,35,5,90
CLARO-PR-SC,41,40,6,90
CLARO-PR-SC,41,50,8,120
CLARO-PR-SC,41,100,18,180
CLARO-PR-SC,42,13,0,30
CLARO-PR-SC,42,15,0,30
CLARO-PR-SC,42,20,2,60
CLARO-PR-SC,42,30,4,90
CLARO-PR-SC,42,35,5,90
CLARO-PR-SC,42,40,6,90
CLARO-PR-SC,42,50,8,120
CLARO-PR-SC,42,100,18,180
CLARO-PR-SC,43,13,0,30
CLARO-PR-SC,43,15,0,30
CLARO-PR-SC,43,20,2,60
CLARO-PR-SC,43,30,4,90
CLARO-PR-SC,43,35,5,90
CLARO-PR-SC,43,40,6,90
CLARO-PR-SC,43,50,8,120
CLARO-PR-SC,43,100,18,180
CLARO-PR-SC,44,13,0,30
CLARO-PR-SC,44,15,0,30
CLARO-PR-SC,44,20,2,60
CLARO-PR-SC,44,30,4,90
CLARO-PR-SC,44,35,5,90
CLARO-PR-SC,44,40,6,90
CLARO-PR-SC,44,50,8,120
CLARO-PR-SC,44,100,18,180
CLARO-PR-SC,45,13,0,30
CLARO-PR-SC,45,15,0,30
CLARO-PR-SC,45,20,2,60
CLARO-PR-SC,45,30,4,90
CLARO-PR-SC,45,35,5,90
